Column1;AGE;GENDER;STATE;EDUC;MARRIED;JOB;INC;PEOPLE;PINC;CEREAL;ROOT;VEGAN;FRUITS;MEAT;EGGS;MILK;OIL;SUGAR;WELL;CWELL;PWELL;ORG;CORG;PORG;GARDEN;CGARDEN;PGARDEN;VEG;CVEG;PVEG;GARDV1;GARDV2;GARDV3;GARDV4;GARDV5;NGARD;FGARD;INDEXV;INDEXN;VEGROOT;MEETEGG;DEPRATIO
287;640;10;BA;160;0;0;15000;40;30;70;70;70;70;70;70;70;70;70;0;50;50;20;50;20;20;10;10;50;10;10;10;0;0;0;0;0;10;1085;3;70;70;25
288;400;10;PE;160;0;10;45000;30;20;70;40;70;40;30;70;60;60;60;60;20;10;10;40;20;10;30;30;40;20;20;10;10;0;0;10;0;30;1000;3;70;70;3,33333E+15
289;620;10;SP;140;10;10;45000;10;10;70;20;70;30;70;70;10;20;50;50;20;30;50;40;30;50;30;40;20;20;30;10;0;0;10;10;0;30;860;3;70;70;0
290;480;10;RN;180;10;10;25000;20;10;70;30;70;70;70;70;50;50;50;50;40;40;50;40;40;50;40;40;40;30;40;10;0;0;0;0;0;10;1020;3;70;70;5
291;620;10;RJ;120;10;0;25000;10;0;70;10;50;40;40;10;0;50;70;70;50;40;40;50;30;40;50;40;50;20;30;10;0;0;10;10;0;30;680;3;70;10;10
292;620;10;SP;120;0;0;65000;30;10;70;0;70;30;60;70;20;70;70;70;40;30;20;40;30;30;40;40;30;30;30;10;10;10;10;10;10;50;1070;3;70;70;6,66667E+15
293;470;10;SP;140;10;10;15000;40;20;70;30;70;70;30;70;50;70;70;70;20;10;20;40;20;20;10;40;50;20;20;10;10;10;10;10;0;50;1080;3;70;70;5
294;480;10;PE;110;10;0;15000;10;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;20;10;40;10;10;10;10;0;10;10;0;0;30;0;1;0;0;10
295;660;10;SP;160;10;0;25000;10;0;70;70;40;70;70;50;30;70;70;70;30;50;40;30;30;40;50;40;30;20;20;10;0;0;10;10;0;30;1030;3;70;70;10
296;590;10;MG;160;10;10;45000;10;10;30;10;70;30;70;30;70;0;40;50;40;20;10;40;30;40;40;40;30;20;30;10;0;0;0;10;0;20;715;3;40;70;0
297;260;0;AM;140;0;0;25000;30;20;60;20;0;0;10;70;0;70;40;70;10;10;50;10;10;20;10;10;10;10;10;0;0;0;0;10;0;10;765;3;70;70;3,33333E+15
298;580;0;BA;140;0;0;25000;30;20;0;30;40;70;30;70;70;20;0;0;40;40;50;50;30;50;40;30;40;20;10;10;10;0;10;10;0;40;640;3;30;70;3,33333E+15
299;590;10;GO;140;10;10;65000;30;30;70;40;70;40;60;70;0;70;70;20;20;10;20;40;20;50;40;40;40;20;40;10;0;0;0;0;0;10;1055;3;70;70;0
300;430;10;SP;160;0;0;135000;30;10;70;10;30;0;0;50;30;30;30;40;40;40;30;40;20;30;20;20;20;10;10;10;0;0;0;0;0;10;665;3;70;70;6,66667E+15
301;630;10;RJ;180;10;0;135000;10;0;50;70;50;70;70;70;40;50;0;60;40;30;20;50;30;40;40;40;20;10;20;0;0;0;0;10;0;10;940;3;70;70;10
302;600;10;SP;120;10;10;275000;40;30;70;50;30;70;70;30;10;70;0;0;40;50;50;50;40;50;50;50;50;20;20;10;10;0;10;10;0;40;810;3;70;40;25
303;680;10;MG;160;10;0;45000;50;20;70;30;20;70;60;60;70;20;30;30;40;40;50;50;20;40;40;40;40;20;40;10;10;0;10;10;0;40;720;3;70;70;6
304;410;10;PE;160;0;10;25000;30;20;50;30;50;20;50;30;70;0;70;40;40;40;50;50;10;40;40;40;40;10;30;10;10;0;10;10;0;40;695;3;70;70;3,33333E+15
305;620;10;BA;160;10;0;80000;30;10;70;70;40;70;70;50;70;70;70;70;40;40;50;40;30;50;40;40;30;20;30;10;0;0;10;0;0;20;1030;3;70;70;6,66667E+15
306;460;10;BA;160;0;10;45000;20;20;70;70;70;70;70;70;70;70;70;70;30;40;40;40;30;50;40;40;20;30;40;10;0;0;10;10;0;30;1120;3;70;70;0
307;530;10;DF;160;10;0;25000;20;10;70;40;50;40;40;50;0;50;50;40;20;20;20;20;20;20;20;20;20;10;20;10;10;0;10;10;0;40;815;3;70;50;5
308;460;10;PR;160;10;10;25000;30;20;70;50;70;70;40;30;30;30;40;30;20;20;40;30;20;40;20;30;30;20;40;10;10;0;10;10;0;40;855;3;70;60;3,33333E+15
309;210;10;PE;140;10;0;45000;30;20;70;70;70;70;70;70;70;70;0;0;50;50;50;50;50;50;50;40;50;30;50;0;0;0;0;10;0;10;1050;3;70;70;3,33333E+15
310;370;10;MG;120;10;0;15000;30;0;70;10;10;10;0;70;20;0;50;20;10;20;50;50;20;50;30;40;20;10;30;10;0;0;0;0;0;10;495;3;70;70;10
311;500;10;SC;160;10;10;25000;10;10;30;20;30;70;50;70;20;40;0;50;40;50;30;50;20;30;40;50;40;10;20;10;0;0;0;10;0;20;775;3;50;70;0
312;530;10;DF;160;10;10;100000;30;30;70;70;70;70;70;70;70;70;70;70;20;30;50;50;40;40;50;50;40;40;50;10;0;0;0;0;0;10;1120;3;70;70;0
313;350;10;SP;160;0;10;45000;40;30;70;70;70;0;70;70;70;70;0;70;40;50;50;40;30;50;10;30;40;40;50;10;0;0;0;0;0;10;1015;3;70;70;25
314;300;10;MG;120;10;10;25000;40;20;70;70;70;70;70;70;20;70;70;70;30;40;30;30;30;30;30;40;30;30;20;10;10;0;10;10;0;40;1120;3;70;70;5
315;420;10;BA;160;10;10;65000;10;10;70;70;30;70;40;70;70;70;70;70;20;10;50;50;40;50;40;10;40;20;10;10;10;0;10;10;0;40;970;3;70;70;0
316;500;0;SP;160;0;10;135000;30;20;70;40;40;30;70;60;30;70;70;40;40;30;40;40;30;40;20;20;40;20;30;10;0;0;10;10;0;30;975;3;70;70;3,33333E+15
317;530;10;GO;160;10;10;45000;30;30;50;10;50;50;50;50;0;20;0;50;30;30;20;30;20;30;40;30;10;10;20;10;0;0;0;0;0;10;675;3;60;50;0
318;610;0;SP;160;10;0;45000;10;0;50;0;30;30;60;20;50;40;30;50;20;50;40;40;20;40;40;40;20;10;40;10;0;0;0;0;0;10;760;3;50;70;10
319;540;0;RS;120;0;10;45000;30;30;70;50;50;40;30;50;50;50;40;40;20;20;30;40;30;30;40;40;20;20;30;10;10;0;0;10;0;30;880;3;70;70;0
320;300;10;MG;140;10;10;25000;30;20;40;40;70;70;70;50;70;30;70;70;30;30;10;20;20;30;30;20;20;20;40;10;10;10;10;10;0;50;960;3;70;70;3,33333E+15
321;450;10;PE;160;0;10;65000;30;10;60;60;60;40;30;70;70;60;60;70;40;30;30;50;40;50;10;20;40;30;10;10;10;0;0;0;0;20;975;3;70;70;6,66667E+15
322;650;10;PR;180;10;0;45000;20;10;70;70;70;70;70;70;40;40;70;10;30;30;40;40;30;50;40;50;20;10;10;10;0;0;0;10;0;20;970;3;70;70;5
323;510;10;RJ;110;10;0;15000;20;0;70;50;70;40;20;40;40;30;20;70;40;30;50;40;20;50;30;40;40;30;40;10;0;0;10;10;0;30;855;3;70;70;10
324;700;10;SP;120;10;0;25000;10;0;70;70;70;70;70;60;50;70;70;70;50;10;30;50;20;20;40;20;40;40;30;10;0;0;0;0;0;10;1120;3;70;70;10
325;650;10;SP;160;10;10;100000;20;0;70;20;30;40;50;60;40;40;50;70;50;50;50;50;30;50;50;50;50;30;50;10;0;0;10;10;0;30;820;3;70;70;10
326;540;10;RJ;160;0;0;15000;20;10;70;50;40;70;70;70;70;70;70;40;40;30;50;50;30;30;50;40;50;30;30;10;0;0;0;0;0;10;1015;3;70;70;5
327;260;0;BA;160;10;10;100000;30;30;70;40;70;30;30;70;20;70;70;70;30;10;30;40;20;40;20;40;40;20;10;0;10;0;0;10;0;20;1040;3;70;70;0
328;350;0;BA;160;10;10;15000;40;20;70;10;70;70;10;10;10;0;70;70;30;20;30;40;20;30;40;30;40;10;10;10;0;0;0;0;0;10;580;3;70;20;5
329;390;10;RJ;160;10;10;25000;30;20;50;30;0;50;70;20;70;60;30;50;30;20;40;40;20;40;30;40;40;20;40;10;10;0;10;0;0;30;820;3;70;70;3,33333E+15
330;530;10;SP;220;0;10;80000;20;20;70;30;70;70;70;70;0;70;70;70;40;40;50;40;20;50;40;40;40;20;50;10;0;0;0;0;0;10;1120;3;70;70;0
331;670;10;SP;140;0;0;65000;40;40;70;60;40;70;40;50;30;70;70;70;40;40;30;40;30;30;40;30;40;10;20;0;0;0;0;10;0;10;1000;3;70;70;0
332;450;10;RJ;140;0;0;25000;30;10;70;70;70;70;50;70;70;70;20;20;40;30;40;30;20;30;50;50;30;30;10;10;0;0;0;0;0;10;1050;3;70;70;6,66667E+15
333;610;10;MG;120;10;0;15000;10;0;70;70;0;70;70;70;20;70;0;60;10;50;50;10;10;10;40;40;10;10;30;10;0;0;0;0;0;10;870;3;70;70;10
334;460;0;MG;160;10;10;15000;20;10;70;20;30;10;20;50;20;30;40;10;40;40;40;20;30;40;20;30;40;20;30;10;0;0;10;0;0;20;685;3;70;70;5
335;630;10;PE;140;10;0;45000;30;20;70;70;70;70;70;70;70;70;0;0;50;50;50;50;40;50;50;40;50;30;50;0;0;0;0;10;0;10;1050;3;70;70;3,33333E+15
336;440;10;RS;90;0;0;45000;40;20;60;50;30;50;20;40;50;20;10;10;20;40;50;50;30;50;20;50;20;30;50;10;0;0;0;0;0;10;670;3;70;70;5
337;550;10;RJ;50;0;0;15000;30;20;10;30;50;30;20;20;10;0;0;0;10;10;10;10;10;10;20;40;30;10;20;10;0;0;0;0;0;10;400;3;40;30;3,33333E+15
338;480;10;RJ;120;0;0;15000;40;20;70;70;70;70;0;70;70;70;70;0;10;20;30;10;20;30;40;40;10;10;10;10;0;0;10;0;0;20;1015;3;70;70;5
339;710;0;SE;180;0;0;135000;40;10;40;20;60;70;70;50;70;0;0;10;40;20;50;40;30;50;30;40;50;40;50;10;0;0;0;0;0;10;725;3;60;70;75
340;430;10;PI;110;0;0;15000;30;10;70;40;70;40;20;30;70;70;20;0;20;40;40;40;20;40;50;40;50;20;40;10;10;0;10;10;0;40;980;3;70;70;6,66667E+15
341;610;10;SP;120;10;0;25000;10;10;70;30;70;70;70;50;40;40;70;30;40;40;40;40;30;40;30;40;20;20;20;10;10;0;10;10;0;40;980;3;70;70;0
342;410;10;GO;160;0;0;65000;30;10;70;30;70;70;40;70;30;70;70;30;50;40;50;40;20;40;50;20;40;10;30;10;0;0;0;10;0;20;1070;3;70;70;6,66667E+15
343;550;10;SP;120;0;0;45000;20;0;70;30;70;70;70;0;0;70;70;60;40;20;20;20;20;20;40;50;30;20;10;10;0;0;0;0;0;10;835;3;70;0;10
344;610;10;RJ;160;10;10;80000;40;20;70;50;70;50;50;70;60;60;70;70;30;30;50;40;30;50;30;50;30;30;40;10;0;0;0;10;0;20;1040;3;70;70;5
345;760;10;RJ;120;10;10;25000;10;0;30;70;70;70;70;70;60;70;70;70;50;50;50;50;50;50;50;40;50;30;40;10;0;0;0;0;0;10;1120;3;70;70;10
346;460;10;BA;140;0;10;25000;20;20;30;70;50;50;70;30;20;10;10;30;30;40;40;30;20;40;30;40;30;20;40;10;0;0;10;10;0;30;670;3;70;50;0
347;560;10;SC;120;10;0;15000;10;0;70;30;70;70;20;0;0;70;70;0;50;20;10;40;10;40;50;50;50;30;10;10;10;0;10;10;0;40;755;3;70;0;10
348;610;10;BA;120;10;0;25000;30;10;70;70;20;0;40;30;10;70;60;60;50;20;50;40;20;40;40;40;30;10;40;10;10;10;10;10;0;50;740;3;70;40;6,66667E+15
349;570;0;BA;110;0;10;25000;40;30;70;50;70;50;70;70;40;40;70;30;30;40;40;40;30;40;40;40;30;30;10;10;10;0;10;0;0;30;960;3;70;70;25
350;650;10;PR;110;10;10;25000;20;10;70;50;20;50;70;40;30;30;70;40;20;50;20;40;20;40;20;40;40;20;20;0;0;0;0;10;0;10;775;3;70;70;5
351;640;10;SP;160;0;0;25000;20;20;70;50;60;60;70;60;20;70;70;70;30;30;30;40;20;30;50;50;10;10;10;10;10;0;10;10;0;40;1080;3;70;70;0
352;400;10;RJ;160;10;0;25000;20;10;70;70;40;50;20;20;70;70;10;10;20;50;40;40;20;30;20;40;40;20;30;10;10;0;10;10;0;40;900;3;70;70;5
353;340;10;SP;110;10;10;45000;10;0;50;50;20;50;70;50;20;50;50;50;20;30;50;20;20;40;40;40;20;20;30;10;0;0;0;10;0;20;850;3;70;70;10
354;230;10;PB;140;10;0;25000;30;20;70;30;70;40;70;40;30;70;70;70;30;20;40;40;40;50;40;50;30;20;20;10;10;0;10;10;0;40;1090;3;70;70;3,33333E+15
355;580;10;BA;160;0;10;45000;20;10;70;50;50;70;70;60;50;0;20;20;30;40;40;30;30;40;30;40;30;30;30;10;0;0;10;10;0;30;730;3;70;70;5
356;560;10;BA;160;10;10;65000;20;10;70;70;70;50;70;40;50;70;20;70;30;30;30;50;30;30;40;30;40;20;20;10;10;0;10;10;0;40;1075;3;70;70;5
357;340;10;TO;140;10;10;15000;10;10;70;40;70;40;70;70;50;40;70;50;20;10;20;30;20;40;20;20;20;20;20;0;0;0;0;10;0;10;960;3;70;70;0
358;480;0;BA;160;0;10;45000;20;10;50;50;50;50;50;50;60;60;0;20;40;40;40;40;30;40;40;30;40;20;40;10;0;0;0;0;0;10;920;3;70;70;5
359;380;10;BA;160;10;10;45000;10;10;40;20;40;30;50;30;70;70;70;70;20;40;50;40;30;50;40;40;40;20;50;10;10;0;0;0;0;20;950;3;60;70;0
360;660;10;RJ;160;10;0;65000;20;10;70;20;70;70;70;0;70;70;70;0;50;50;50;50;50;50;40;40;50;40;40;10;0;0;0;0;0;10;1085;3;70;70;5
361;480;0;SP;160;10;10;15000;40;30;50;30;50;30;20;60;30;50;70;60;30;20;20;20;10;30;30;40;30;10;30;10;0;0;0;0;0;10;885;3;70;70;25
362;670;10;RJ;140;0;0;25000;20;0;10;70;70;70;70;70;70;40;30;20;50;40;20;50;30;50;50;50;50;20;30;10;0;0;0;0;0;10;955;3;70;70;10
363;610;10;MG;120;10;0;15000;10;10;70;30;70;70;70;70;20;70;0;70;40;40;50;10;10;50;10;40;10;10;30;10;10;0;0;10;0;30;1085;3;70;70;0
364;520;10;SP;110;0;10;25000;60;40;70;0;70;30;40;70;20;0;70;70;50;40;50;50;40;50;50;40;20;10;30;10;10;0;0;10;0;30;770;3;70;70;3,33333E+15
365;520;10;PB;160;0;0;45000;30;20;70;30;30;70;70;40;30;0;70;10;40;30;50;50;30;50;20;40;40;30;50;10;0;0;10;0;0;20;690;3;70;70;3,33333E+15
366;470;10;MG;160;0;10;65000;20;20;70;70;70;70;40;70;30;0;70;10;50;50;50;50;30;40;50;40;40;10;20;10;0;0;0;0;0;10;780;3;70;70;0
367;470;10;MG;90;10;0;25000;10;0;70;50;70;70;70;70;0;70;70;10;50;40;40;20;20;30;20;20;20;20;20;0;0;0;10;0;0;10;1090;3;70;70;10
368;650;10;SP;160;10;0;15000;20;10;70;70;70;50;70;70;70;0;0;50;50;50;50;50;20;40;50;40;50;20;50;10;0;10;0;0;0;20;775;3;70;70;5
369;540;10;GO;160;10;10;65000;30;30;40;60;50;40;60;30;50;70;20;30;20;10;30;30;20;10;10;40;20;20;10;10;0;0;10;10;0;30;975;3;70;70;0
370;660;10;BA;160;10;0;65000;30;0;70;20;70;70;70;30;70;70;70;70;40;10;40;40;30;40;20;10;40;10;30;10;0;0;10;0;0;20;1120;3;70;70;10
371;440;10;SC;120;0;0;80000;30;10;50;30;10;50;60;70;40;30;50;50;20;30;40;50;20;40;50;40;40;30;10;10;0;0;10;10;0;30;730;3;70;70;6,66667E+15
372;620;10;PB;120;10;0;15000;20;10;70;30;30;20;50;20;40;20;30;70;40;40;40;50;20;40;40;40;20;20;50;10;0;0;0;0;0;10;670;3;70;60;5
373;580;10;RJ;160;0;10;45000;20;10;70;70;70;70;70;70;20;70;10;70;30;10;40;40;30;30;10;30;30;20;30;0;0;0;10;0;0;10;1090;3;70;70;5
374;520;10;RS;50;10;10;15000;10;10;70;0;0;70;70;0;20;70;0;10;40;20;40;30;20;40;50;40;20;20;30;10;0;0;0;0;0;10;645;3;70;20;0
375;510;10;BA;160;10;10;45000;30;10;60;0;50;20;20;60;50;60;40;40;40;20;40;40;30;40;40;30;40;20;30;10;10;0;0;10;0;30;870;3;60;70;6,66667E+15
376;530;10;DF;160;10;0;25000;20;10;50;50;50;50;30;40;10;50;50;50;30;30;20;30;20;20;20;20;20;10;20;10;10;0;10;10;0;40;820;3;70;50;5
377;580;10;PR;140;0;0;45000;30;20;50;10;50;50;50;30;30;50;50;50;40;40;50;50;40;50;40;40;40;10;20;10;0;0;0;0;0;10;860;3;60;60;3,33333E+15
378;600;0;SP;160;10;0;15000;10;10;20;20;70;70;70;0;0;0;10;20;20;40;10;20;20;30;20;50;30;40;50;10;10;0;0;10;0;30;445;3;40;0;0
379;480;10;RJ;160;10;10;45000;20;20;70;70;70;70;70;70;40;40;70;70;40;40;30;40;20;20;40;50;30;10;10;0;10;0;0;10;0;20;1000;3;70;70;0
380;450;10;SP;160;10;10;25000;30;20;50;30;50;50;0;50;0;50;50;50;10;30;40;20;20;40;20;40;20;10;30;10;10;0;0;0;0;20;790;3;70;50;3,33333E+15
381;530;10;DF;160;10;0;15000;20;10;70;40;40;40;40;50;30;50;50;50;20;20;20;20;20;20;20;20;20;10;20;10;10;0;10;10;0;40;870;3;70;70;5
382;390;10;PR;160;0;10;45000;60;20;70;30;70;70;70;10;70;10;70;40;30;40;50;40;30;50;40;40;50;20;40;10;0;0;10;10;0;30;865;3;70;70;6,66667E+15
383;620;10;SP;120;0;0;25000;30;10;20;30;50;70;50;50;20;70;40;40;30;30;30;30;30;30;50;40;30;30;30;0;10;0;0;10;0;20;970;3;50;70;6,66667E+15
384;650;10;SP;160;10;10;100000;20;10;50;20;50;50;30;40;10;40;50;50;50;50;50;50;30;50;50;40;50;30;50;10;10;0;10;10;0;40;780;3;70;50;5
385;530;10;SP;220;0;10;80000;30;20;70;0;70;70;70;70;20;70;70;70;40;30;50;40;30;50;20;40;30;20;50;10;0;0;0;0;0;10;1120;3;70;70;3,33333E+15
386;570;10;BA;220;10;10;100000;10;0;70;40;40;40;40;30;0;40;0;30;40;50;50;50;40;50;50;50;40;30;40;10;0;0;10;0;0;20;635;3;70;30;10
387;290;10;MG;120;0;10;15000;70;30;60;10;70;40;30;60;60;60;40;40;30;20;50;40;30;50;40;50;40;20;50;0;0;0;0;10;0;10;980;3;70;70;5,71429E+15
388;270;0;PR;120;10;10;15000;20;20;30;20;20;20;20;20;20;20;20;20;40;30;30;30;30;30;30;30;30;30;30;10;0;0;0;0;0;10;460;3;50;40;0
389;430;10;PR;120;10;10;25000;30;30;70;70;70;70;70;40;30;0;70;70;20;10;40;20;30;40;30;40;30;20;30;10;0;0;0;0;0;10;840;3;70;70;0
390;660;10;SP;120;10;10;65000;10;10;70;70;70;70;70;70;50;70;70;20;40;40;50;50;30;50;40;30;40;20;20;10;0;0;10;0;0;20;1095;3;70;70;0
391;360;0;SP;120;0;0;15000;10;0;70;30;70;30;20;0;70;50;70;70;20;30;50;30;20;50;40;50;20;10;40;10;10;0;10;10;0;40;950;3;70;70;10
392;480;10;RN;160;10;10;25000;20;10;70;30;50;30;50;70;30;70;50;40;20;30;20;20;20;30;20;20;10;20;20;10;10;0;10;10;0;40;975;3;70;70;5
393;730;0;PE;120;10;10;25000;20;0;70;70;70;70;70;40;70;70;10;70;20;10;30;40;30;30;40;40;40;20;10;10;10;0;0;10;0;30;1090;3;70;70;10
394;620;10;PR;180;0;0;45000;30;20;70;70;70;70;70;0;40;70;30;70;40;50;40;40;30;40;30;30;30;30;40;10;0;0;10;10;0;30;980;3;70;40;3,33333E+15
395;530;10;DF;160;10;0;15000;20;10;50;40;50;40;40;50;30;50;50;50;20;20;20;20;20;20;20;20;20;20;20;10;0;0;10;10;0;30;900;3;70;70;5
396;600;10;MG;160;10;0;80000;20;10;0;0;70;70;70;60;70;50;70;0;40;30;40;40;20;40;30;30;20;20;30;10;10;0;10;0;0;30;865;3;0;70;5
397;590;10;SP;160;10;10;45000;30;20;70;50;70;70;70;10;70;60;30;20;40;40;40;50;40;50;50;40;40;30;50;10;0;0;10;0;0;20;1035;3;70;70;3,33333E+15
398;460;0;MG;160;10;10;15000;20;20;70;30;30;30;20;40;20;30;50;30;30;30;50;30;30;50;30;40;30;20;30;10;0;0;10;10;0;30;680;3;70;60;0
399;220;0;DF;120;10;0;15000;20;10;50;40;50;50;40;50;30;50;50;50;20;20;20;20;20;20;20;20;20;20;20;10;10;0;10;10;0;40;910;3;70;70;5
400;600;10;PI;160;0;10;45000;60;30;70;40;40;60;70;70;20;70;70;30;40;40;50;40;30;50;40;20;40;20;30;10;0;0;0;0;0;10;1000;3;70;70;5
401;490;0;RJ;160;0;10;25000;50;30;70;20;40;30;20;70;30;10;70;70;10;20;30;40;20;30;10;40;20;20;20;10;0;0;0;0;0;10;700;3;70;70;4
402;530;10;SP;160;0;10;45000;20;20;0;70;70;70;70;20;70;0;0;20;50;20;50;50;50;50;50;50;50;40;40;10;0;0;0;0;0;10;780;3;70;70;0
403;430;10;MG;160;0;10;45000;20;20;70;20;40;40;60;60;30;0;30;40;40;30;40;40;30;40;40;50;40;30;40;10;10;0;0;10;0;30;675;3;70;70;0
404;350;10;GO;140;0;10;45000;40;20;70;10;70;50;50;30;70;30;70;30;20;10;10;40;30;10;20;20;20;10;10;10;10;0;0;10;0;30;900;3;70;70;5
405;640;10;SP;140;0;0;25000;20;20;60;40;70;70;70;70;30;60;70;20;40;40;50;50;50;50;50;50;40;40;50;10;10;0;10;10;0;40;1055;3;70;70;0
406;550;10;RJ;120;10;0;15000;20;10;70;30;30;50;70;40;20;50;70;30;40;30;40;30;20;30;40;30;20;10;30;10;0;0;0;10;0;20;840;3;70;60;5
407;370;10;MA;160;0;0;45000;20;10;70;60;60;70;50;70;30;40;70;70;20;20;40;40;30;40;40;50;40;40;50;10;10;0;10;10;0;40;950;3;70;70;5
408;290;10;PI;140;10;10;15000;50;40;70;70;70;70;30;70;50;40;70;70;40;30;30;40;20;50;30;40;30;10;50;10;10;0;0;0;0;20;960;3;70;70;2
409;520;10;MG;160;10;10;25000;30;20;60;10;50;40;0;40;10;70;20;30;20;10;30;30;30;30;40;10;40;20;10;10;10;0;0;10;0;30;835;3;70;50;3,33333E+15
410;470;10;RN;120;10;0;25000;20;10;70;10;40;50;70;70;70;0;0;30;40;20;10;20;20;40;40;20;40;20;40;10;0;0;0;0;0;10;675;3;70;70;5
411;530;10;RS;50;0;0;15000;30;10;70;50;20;40;60;50;20;20;30;40;40;40;40;50;50;50;40;40;30;30;10;10;10;0;10;10;0;40;695;3;70;70;6,66667E+15
412;540;0;PR;50;10;10;25000;40;20;70;0;70;40;0;70;50;0;70;0;20;40;20;40;20;50;40;40;30;10;10;10;0;0;0;0;0;10;705;3;70;70;5
413;520;10;MG;140;10;10;25000;30;20;40;20;40;40;0;50;10;60;20;30;30;20;20;40;10;20;40;10;40;20;10;10;10;0;0;10;0;30;785;3;60;60;3,33333E+15
414;480;10;CE;120;0;10;15000;50;20;70;70;70;50;60;70;30;50;70;40;40;20;50;40;40;50;50;50;20;20;40;10;0;0;10;10;0;30;995;3;70;70;6
415;670;10;GO;180;10;10;45000;40;20;30;20;30;70;70;30;70;50;40;50;50;50;50;50;40;50;50;50;40;10;10;10;10;0;10;10;0;40;855;3;50;70;5
416;550;10;BA;90;0;0;15000;30;10;20;40;10;0;20;30;60;0;40;20;40;30;50;20;20;50;40;40;20;20;30;10;0;0;0;10;0;20;480;3;60;70;6,66667E+15
417;410;10;PE;160;0;0;45000;20;10;70;70;70;70;70;0;70;70;70;40;40;50;50;40;20;50;40;40;40;40;50;10;0;0;10;10;0;30;1105;3;70;70;5
418;600;0;PE;120;0;10;15000;30;10;70;0;70;30;10;70;40;20;60;50;10;20;40;40;20;40;30;30;10;20;40;10;0;0;0;0;0;10;805;3;70;70;6,66667E+15
419;370;0;MS;160;10;10;45000;20;10;70;40;70;60;20;60;40;40;70;50;30;40;30;40;30;40;40;40;40;30;30;10;10;0;10;10;0;40;930;3;70;70;5
420;380;10;SP;120;10;0;15000;30;10;70;0;30;40;20;0;30;0;70;70;20;20;40;20;10;40;20;20;30;10;40;10;0;0;0;0;0;10;480;3;70;30;6,66667E+15
421;460;10;SP;160;10;10;25000;50;20;70;40;50;50;40;50;50;50;50;30;30;30;40;30;20;30;40;40;30;30;30;0;10;0;0;10;0;20;900;3;70;70;6
422;430;10;MA;120;0;10;15000;40;20;40;20;70;70;70;70;70;70;70;70;50;50;50;50;50;50;50;50;50;30;50;10;0;0;0;0;0;10;1100;3;60;70;5
423;510;10;MG;160;0;0;15000;30;10;70;70;70;70;70;70;70;70;70;70;50;50;50;50;20;50;50;50;50;10;30;0;0;0;0;10;0;10;1120;3;70;70;6,66667E+15
424;420;10;GO;160;0;0;45000;40;10;70;20;70;70;70;70;10;70;70;70;30;20;10;20;20;20;20;30;20;10;10;10;0;0;0;10;0;20;1120;3;70;70;75
425;380;10;SP;140;0;0;15000;60;40;70;20;20;70;70;10;70;10;20;20;40;30;50;40;20;50;30;40;40;20;50;10;0;0;10;10;0;30;680;3;70;70;3,33333E+15
426;330;10;PE;140;10;10;45000;10;10;70;30;50;70;50;50;70;30;70;20;30;30;40;40;20;30;20;40;40;40;50;10;0;0;0;10;0;20;855;3;70;70;0
427;210;0;PE;140;10;10;275000;40;20;70;50;70;70;70;70;70;70;70;10;40;10;10;50;20;50;50;10;50;10;10;0;0;0;0;10;0;10;1090;3;70;70;5
428;270;0;PE;160;10;10;100000;20;20;70;20;20;50;20;20;70;70;70;70;40;40;40;40;10;30;40;50;50;30;30;10;10;0;0;10;0;30;900;3;70;70;0
429;600;0;CE;160;0;10;80000;30;30;70;30;60;50;70;70;60;60;70;70;30;10;30;40;20;30;20;30;10;10;10;10;10;0;0;10;0;30;1030;3;70;70;0
430;320;10;CE;110;0;10;15000;50;20;30;0;70;30;20;30;50;30;20;50;40;40;30;20;20;30;20;40;20;40;10;10;10;0;0;0;0;20;755;3;30;70;6
