age;gender;edu;marry;job;income;people;peoplew;cereal;tubers;legumes;vegetables;fruits;fish;eggs;dairy;fats;sweets;know;consider;paymore;fsi;dr
32;1;11;1;1;1500;5;2;3;0;7;3;2;3;5;3;2;5;4;4;3;54,5;0,600
60;0;16;1;1;8000;3;3;7;3;6;5;7;7;6;6;7;7;3;1;3;75;0,000
27;0;16;0;1;10000;2;2;7;2;2;5;2;2;7;7;7;7;4;4;3;62;0,000
21;0;14;0;1;27500;4;2;7;5;7;7;7;7;7;7;7;1;4;1;1;81;0,500
33;1;14;0;1;4500;1;1;7;3;5;7;5;5;7;3;7;2;3;3;3;57,5;0,000
38;1;14;1;0;1500;6;4;7;2;2;7;7;1;7;1;2;2;4;3;5;40;0,333
42;1;16;1;0;4500;4;1;7;2;7;7;7;7;1;7;7;7;3;2;1;84;0,750
51;1;16;1;0;1500;3;1;7;7;7;7;7;7;7;7;7;7;5;5;5;84;0,667
43;1;12;1;1;1500;4;2;4;2;7;7;7;7;7;7;7;7;5;5;5;84;0,500
46;1;16;0;1;2500;5;2;7;4;5;5;4;5;5;5;5;3;3;3;3;62;0,600
38;1;12;0;0;1500;3;1;7;0;3;4;2;0;3;0;7;7;2;2;3;36;0,667
37;0;16;0;1;4500;2;1;7;4;7;6;2;6;4;4;7;5;3;4;3;65;0,500
60;0;12;1;1;1500;3;1;7;0;7;3;1;7;4;2;6;5;1;2;3;52,5;0,667
41;1;16;1;0;4500;2;1;7;7;7;7;7;0;7;7;7;4;4;5;5;82,5;0,500
55;1;9;1;0;1500;3;1;2;4;1;0;2;3;6;0;4;2;4;3;5;22;0,667
67;1;18;0;1;4500;4;2;3;2;3;7;7;3;7;5;4;5;5;5;5;61,5;0,500
48;1;12;1;1;1500;5;2;7;7;7;5;6;7;3;5;7;4;4;2;5;71,5;0,600
52;1;14;0;1;2500;3;2;4;2;4;4;0;5;1;6;2;3;3;2;2;56,5;0,333
54;0;5;0;1;2500;4;2;7;0;7;4;0;7;5;0;7;0;2;4;2;42,5;0,500
53;1;5;1;0;1500;3;1;7;5;2;4;6;5;2;2;3;4;4;4;3;41,5;0,667
47;1;12;0;0;2500;2;1;7;1;4;5;7;7;7;0;0;3;4;2;1;39,5;0,500
52;1;16;0;1;2500;3;2;6;1;5;4;0;4;1;7;2;3;2;1;3;63,5;0,333
29;1;14;0;1;1500;5;4;7;7;7;7;3;7;5;4;7;7;4;3;3;68;0,200
37;1;16;1;0;4500;2;1;7;6;6;7;5;7;3;4;7;7;2;2;3;67;0,500
55;1;12;0;0;1500;2;1;7;3;3;5;7;4;2;5;7;3;4;3;3;60;0,500
64;1;14;1;0;2500;2;2;6;4;7;7;7;7;3;6;7;2;4;4;5;77,5;0,000
35;1;14;1;1;4500;4;2;7;1;7;5;5;3;7;3;7;3;2;1;1;62;0,500
43;1;16;1;1;4500;2;2;7;2;4;4;6;6;3;0;3;4;4;3;3;39,5;0,000
53;1;16;1;1;4500;2;2;0;7;7;7;7;2;7;0;0;2;5;2;5;50;0,000
49;0;16;1;1;2500;5;3;7;2;4;3;2;7;3;1;7;7;1;2;3;42;0,400
60;1;16;1;1;4500;6;3;7;4;4;6;7;7;2;7;7;3;4;4;5;72;0,500
22;0;12;0;0;1500;2;1;5;4;5;5;4;5;3;5;5;5;2;2;2;63;0,500
46;0;16;0;1;1500;2;2;7;3;3;3;2;4;2;3;5;3;3;3;5;44;0,000
59;1;16;0;1;4500;3;2;7;5;7;7;7;1;7;6;3;2;4;4;3;75,5;0,333
60;1;16;0;0;8000;2;1;0;0;7;7;7;6;7;5;7;0;4;3;3;65,5;0,500
53;1;16;0;0;1500;2;1;5;4;5;4;4;5;3;5;5;5;2;2;2;62;0,500
62;1;18;1;0;4500;3;2;7;7;7;7;7;0;4;7;3;7;4;5;3;82;0,333
73;0;12;0;1;2500;2;0;7;7;7;7;7;4;7;7;1;7;2;1;3;81;1,000
48;1;16;0;1;2500;2;1;7;3;5;3;5;7;3;7;5;4;2;3;2;69,5;0,500
36;0;12;1;0;1500;1;0;7;3;7;3;2;0;7;5;7;7;2;3;5;67;1,000
66;1;12;0;1;6500;1;1;7;7;7;7;7;7;5;7;7;2;4;4;5;81,5;0,000
43;1;12;0;1;2500;3;3;7;7;7;7;7;4;3;0;7;7;2;1;3;56;0,000
27;0;12;0;1;1500;2;2;3;2;2;2;2;2;2;2;2;2;4;3;3;34;0,000
29;1;12;1;1;1500;7;3;6;1;7;4;3;6;6;6;4;4;3;2;5;70;0,571
57;1;22;0;1;10000;1;0;7;4;4;4;4;3;0;4;0;3;4;5;5;51,5;1,000
53;1;22;1;1;8000;3;2;7;0;7;7;7;7;2;7;7;7;4;3;5;84;0,333
65;1;16;0;1;10000;2;1;5;2;5;5;3;4;1;4;5;5;5;5;5;58;0,500
62;1;12;1;0;2500;3;1;2;3;5;7;5;5;2;7;4;4;3;3;3;73;0,667
39;1;16;1;1;4500;6;2;7;3;7;7;7;1;7;1;7;4;3;4;5;58,5;0,667
53;1;16;0;0;1500;2;1;7;4;4;4;4;5;3;5;5;5;2;2;2;59;0,500
45;1;16;0;1;2500;3;2;5;3;5;5;0;5;0;5;5;5;1;3;3;59;0,333
48;1;16;0;1;4500;2;2;7;7;7;7;7;7;4;4;7;7;4;4;3;72;0,000
60;0;16;0;0;1500;1;1;2;2;7;7;7;0;0;0;1;2;2;4;1;43,5;0,000
58;1;14;1;0;4500;3;2;5;1;5;5;5;3;3;5;5;5;4;4;5;64;0,333
53;1;16;0;0;2500;2;1;5;5;5;5;3;4;1;5;5;5;3;3;2;62;0,500
51;1;16;0;1;4500;3;1;6;0;5;2;2;6;5;6;4;4;4;2;3;61;0,667
52;1;5;0;1;1500;1;1;7;0;0;7;7;0;2;7;0;1;4;2;3;56,5;0,000
58;1;16;1;1;4500;2;1;7;7;7;7;7;7;2;7;1;7;3;1;3;81;0,500
62;1;12;0;0;1500;2;1;7;3;3;2;5;2;4;2;3;7;4;4;3;43;0,500
44;1;12;1;0;8000;3;1;5;3;1;5;6;7;4;3;5;5;2;3;3;45;0,667
66;1;16;0;0;6500;3;0;7;2;7;7;7;3;7;7;7;7;4;1;3;84;1,000
54;1;16;0;1;6500;3;3;4;6;5;4;6;3;5;7;2;3;2;1;3;69,5;0,000
65;1;16;0;0;1500;2;1;7;7;7;5;7;7;7;0;0;5;5;5;5;49,5;0,500
47;1;9;0;0;2500;1;0;7;5;7;7;7;7;0;7;7;1;5;4;3;81;1,000
47;1;16;1;1;6500;2;2;7;7;7;7;4;7;3;0;7;1;5;5;5;50;0,000
52;1;16;1;0;4500;3;2;7;3;3;7;7;4;3;0;7;1;4;3;5;41;0,333
52;1;11;1;1;2500;6;4;7;0;7;3;4;7;2;0;7;7;5;4;5;49;0,333
61;1;12;0;0;1500;1;1;7;3;7;7;7;7;2;7;0;7;4;4;5;80,5;0,000
67;1;14;1;0;2500;2;0;1;7;7;7;7;7;7;4;3;2;5;4;2;67,5;1,000
48;0;16;0;1;1500;4;3;5;3;5;3;2;6;3;5;7;6;3;2;2;60,5;0,250
66;1;16;0;0;6500;2;1;7;2;7;7;7;0;7;7;7;0;5;5;5;80,5;0,500
38;1;16;0;1;4500;1;1;4;2;4;3;5;3;7;7;7;7;2;4;5;69;0,000
48;0;16;1;1;4500;2;1;5;5;5;5;5;5;6;6;0;2;4;4;3;64;0,500
34;1;14;0;1;1500;1;1;7;4;7;4;7;7;5;4;7;5;2;1;2;68;0,000
56;1;16;0;1;6500;2;1;7;7;7;5;7;4;5;7;2;7;3;3;3;79,5;0,500
58;1;16;1;1;4500;2;1;7;5;5;7;7;6;5;0;2;2;3;4;3;45;0,500
23;1;14;0;0;2500;3;2;7;3;7;4;7;4;3;7;7;7;3;2;3;81;0,333
34;1;11;0;1;4500;1;0;5;5;2;5;7;5;2;5;5;5;2;3;5;57;1,000
40;1;16;0;0;2500;2;1;7;7;4;5;2;2;7;7;1;1;2;5;3;62;0,500
64;1;16;1;0;2500;2;2;7;5;6;6;7;6;2;7;7;7;3;3;3;80;0,000
65;1;11;0;1;2500;2;1;7;5;2;5;7;4;3;3;7;4;2;5;2;49,5;0,500
57;0;11;1;1;2500;4;3;7;5;7;5;7;7;4;4;7;3;3;4;3;68;0,250
61;1;12;0;0;2500;3;1;7;7;2;0;4;3;1;7;6;6;5;2;5;58;0,667
56;1;12;0;0;1500;1;0;7;3;7;7;2;0;0;7;7;0;5;2;1;68,5;1,000
46;1;14;1;1;2500;2;2;3;7;5;5;7;3;2;1;1;3;3;4;3;47;0,000
76;1;12;0;1;2500;1;0;3;7;7;7;7;7;6;7;7;7;5;5;5;84;1,000
61;1;16;0;1;8000;4;2;7;5;7;5;5;7;6;6;7;7;3;3;5;76;0,500
55;1;12;1;0;4500;2;0;7;3;7;7;7;0;0;7;7;6;4;2;2;76,5;1,000
41;1;16;1;0;6500;3;1;7;3;7;7;4;7;3;7;7;3;5;4;5;79;0,667
61;1;12;0;0;2500;1;1;7;3;7;7;7;5;4;4;7;3;4;4;3;70;0,000
43;1;11;1;0;1500;3;1;7;4;7;4;2;3;7;7;2;0;2;4;3;70;0,667
71;0;18;1;0;13500;4;1;4;2;6;7;7;5;7;0;0;1;4;2;5;46,5;0,750
48;1;12;1;0;1500;4;2;7;7;7;7;0;7;7;7;7;0;1;2;3;73,5;0,500
55;1;5;1;0;1500;3;2;1;3;5;3;2;2;1;0;0;0;1;1;1;34;0,333
44;1;9;1;0;4500;4;2;6;5;3;5;2;4;5;2;1;1;2;4;5;39;0,500
63;1;14;0;0;4500;3;2;7;7;7;7;7;7;7;7;0;0;5;5;5;77;0,333
46;0;16;0;1;1500;2;1;7;2;3;1;2;5;2;3;4;1;4;4;3;40,5;0,500
61;1;12;0;0;1500;1;0;7;7;0;7;7;7;2;7;0;6;1;5;5;59;1,000
45;1;14;1;0;2500;3;1;7;7;7;7;5;7;7;7;2;2;4;3;3;77;0,667
67;1;14;1;0;6500;4;4;7;6;4;7;4;5;3;7;7;7;4;4;3;72;0,000
53;1;22;1;1;8000;2;2;7;3;7;7;7;7;0;7;7;7;4;4;5;84;0,000
39;1;16;0;1;2500;3;2;5;3;0;5;7;2;7;6;3;5;3;2;3;54;0,333
35;0;16;0;1;1500;4;2;7;1;7;7;1;1;1;0;7;7;3;2;3;50;0,500
26;0;16;0;1;10000;3;3;7;4;7;3;3;7;2;7;7;7;3;1;3;76;0,000
54;1;16;1;0;1500;2;1;7;5;4;7;7;7;7;7;7;4;4;3;5;73,5;0,500
65;1;16;0;1;10000;2;0;7;2;3;4;5;6;4;4;5;7;5;5;5;54;1,000
70;1;12;0;0;2500;1;0;7;7;7;7;7;6;5;7;7;7;5;1;3;84;1,000
51;1;11;0;0;1500;2;0;7;5;7;4;2;4;4;3;2;7;4;3;5;57,5;1,000
65;1;18;0;0;4500;2;1;7;7;7;7;7;7;4;4;7;1;3;3;3;69;0,500
45;1;16;1;1;6500;3;1;6;6;6;4;3;7;7;6;6;7;4;3;3;69,5;0,667
30;1;14;0;1;2500;3;2;4;4;7;7;7;5;7;3;7;7;3;3;1;68;0,333
54;0;12;1;1;4500;3;3;7;5;5;4;3;5;5;5;4;4;2;2;3;60;0,000
61;0;16;0;0;4500;1;0;5;0;3;3;6;2;5;4;3;5;2;5;3;52;1,000
53;1;16;0;1;4500;3;3;5;1;5;5;5;5;0;2;0;5;3;3;2;49,5;0,000
50;0;16;1;1;13500;3;2;7;4;4;3;7;6;3;7;7;4;4;3;3;69,5;0,333
42;1;16;0;1;6500;1;1;7;7;3;7;4;7;7;7;7;7;2;1;5;69;0,000
30;1;12;0;1;2500;4;2;7;7;7;7;7;7;2;7;7;7;3;4;3;84;0,500
35;1;16;1;1;4500;4;3;7;7;7;0;7;7;7;7;0;7;4;5;5;73,5;0,250
53;1;16;0;1;10000;3;3;7;7;7;7;7;7;7;7;7;7;2;3;5;84;0,000
50;1;16;0;1;2500;1;1;3;2;3;7;5;7;2;4;0;5;4;5;3;53,5;0,000
37;1;12;0;0;1500;3;0;7;1;1;1;0;7;2;0;5;2;1;2;5;21,5;1,000
21;1;14;0;0;4500;3;2;7;7;7;7;7;7;7;7;0;0;5;5;5;77;0,333
46;1;16;0;1;2500;3;2;7;5;7;7;4;3;3;3;4;3;2;2;3;61,5;0,333
53;1;16;0;0;2500;2;1;7;4;5;4;4;5;0;5;5;4;2;2;2;61,5;0,500
46;1;16;1;1;4500;2;2;7;7;7;7;7;7;7;7;7;7;3;4;3;84;0,000
62;1;16;0;0;8000;3;1;7;7;4;7;7;5;7;7;7;7;4;4;5;75;0,667
41;1;16;1;1;2500;3;2;5;3;5;2;5;3;7;0;7;4;4;4;5;41,5;0,333
68;1;16;0;0;4500;5;2;7;3;2;7;6;6;7;2;3;3;4;4;5;44;0,600
60;1;12;0;1;27500;4;3;7;5;3;7;7;3;1;7;0;0;4;5;5;65;0,250
63;1;18;0;0;13500;1;0;5;7;5;7;7;7;4;5;0;6;4;3;2;66;1,000
43;1;16;1;0;13500;3;1;7;1;3;0;0;5;3;3;3;4;4;4;3;38,5;0,667
59;1;14;0;1;6500;3;3;7;4;7;4;6;7;0;7;7;2;2;1;2;77,5;0,000
58;0;14;1;0;2500;3;2;0;3;4;7;3;7;7;2;0;0;4;4;5;43;0,333
26;0;14;1;0;2500;3;2;6;2;0;0;1;7;0;7;4;7;1;1;5;48,5;0,333
59;1;16;0;1;4500;1;1;3;1;7;3;7;3;7;0;4;5;4;2;1;49,5;0,000
66;1;16;0;0;2500;1;0;7;7;4;7;7;5;3;7;7;7;3;5;3;75;1,000
48;1;11;0;0;1500;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1,000
47;1;14;0;1;1500;4;2;7;3;7;7;3;7;5;7;7;7;2;1;2;80;0,500
62;1;12;1;0;6500;3;1;7;0;7;3;6;7;2;7;7;7;4;3;2;79;0,667
62;1;12;0;0;2500;1;0;7;1;5;4;4;1;0;5;7;7;5;4;3;61;1,000
48;1;18;0;1;2500;2;1;7;3;7;7;7;7;5;5;5;5;4;4;5;74;0,500
62;1;14;0;1;4500;1;1;7;2;7;3;7;7;1;2;5;5;2;3;5;58;0,000
40;1;16;1;1;4500;3;2;7;4;7;4;3;7;6;6;6;6;2;1;1;72;0,333
64;1;16;1;0;1500;4;3;7;7;7;7;7;7;7;7;7;0;5;5;2;80,5;0,250
36;0;11;1;1;2500;4;2;7;3;6;6;5;5;4;2;5;5;3;3;3;56;0,500
59;1;16;0;0;6500;1;1;6;3;5;3;3;7;2;7;6;3;3;4;5;67,5;0,000
53;1;16;1;1;6500;2;2;0;7;7;7;7;2;7;0;7;7;5;5;5;56;0,000
48;1;11;0;0;1500;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1,000
32;0;16;1;1;2500;2;1;7;3;7;3;5;7;4;7;7;7;3;1;3;78;0,500
51;1;12;1;1;1500;2;2;7;0;7;3;0;2;7;0;7;7;4;1;5;45;0,000
28;1;11;0;0;1500;3;0;7;4;3;5;6;7;3;4;7;7;2;2;3;57;1,000
45;1;16;0;1;8000;3;1;4;4;5;7;7;7;6;7;3;4;3;1;5;74,5;0,667
58;1;5;1;0;8000;4;2;7;4;7;7;4;7;7;7;7;2;4;3;3;78,5;0,500
35;1;16;0;1;8000;3;3;6;2;5;7;5;6;7;7;7;6;2;2;5;75,5;0,000
51;1;12;0;0;1500;2;2;6;2;3;2;4;4;3;2;7;3;2;1;3;42;0,000
45;1;16;0;1;2500;3;1;7;7;7;7;3;6;1;2;4;3;1;1;3;56,5;0,667
52;1;12;0;0;1500;2;1;7;7;7;7;7;7;7;2;6;3;4;4;3;61,5;0,500
42;1;16;0;0;1500;5;2;7;3;5;2;4;2;5;2;7;2;3;5;5;47,5;0,600
50;0;9;1;1;4500;4;1;7;4;5;7;7;4;1;5;2;7;2;3;5;67,5;0,750
63;0;16;1;1;19000;1;0;6;3;5;6;7;6;1;5;2;5;3;2;3;65,5;1,000
65;1;9;0;0;1500;5;1;7;3;7;7;7;7;4;7;7;7;4;5;3;84;0,800
50;1;16;1;1;1500;3;2;7;7;7;7;7;6;0;7;2;5;4;2;3;80,5;0,333
57;1;16;0;0;1500;5;1;7;4;2;2;7;2;5;7;3;2;1;3;3;59,5;0,800
64;1;12;0;0;1500;4;1;7;0;2;2;3;1;2;7;7;3;1;2;1;58;0,750
66;1;12;1;0;13500;3;1;7;0;5;4;7;7;7;5;4;0;2;2;3;62;0,667
36;1;16;0;0;1500;2;0;7;3;7;7;4;7;7;3;7;7;3;5;2;65;1,000
48;1;11;0;0;1500;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1,000
67;1;16;1;0;10000;2;0;7;2;5;7;7;7;7;7;7;3;5;4;3;76;1,000
31;1;12;0;0;1500;2;2;7;7;7;7;6;3;0;3;7;7;2;1;5;67;0,000
37;1;16;1;1;8000;2;1;6;5;6;6;4;6;5;7;7;7;2;3;3;77;0,500
36;1;11;0;0;1500;3;2;7;7;7;7;4;4;5;7;7;5;5;5;5;80;0,333
27;1;16;0;1;6500;3;0;7;4;7;7;7;7;7;7;7;2;5;5;3;81,5;1,000
46;1;16;1;0;1500;3;2;3;1;1;4;2;1;7;1;2;2;3;2;3;29;0,333
42;1;16;1;1;2500;5;1;7;2;7;4;4;7;5;7;7;7;1;3;3;78;0,800
51;1;16;1;1;8000;4;2;7;2;4;5;5;4;4;7;3;4;4;2;5;67,5;0,500
45;1;16;0;1;8000;3;3;7;7;3;7;7;7;7;3;0;4;1;1;5;51;0,000
45;1;5;0;1;2500;1;3;7;7;7;6;4;4;3;3;3;5;3;3;3;61;-2,000
51;1;16;0;1;4500;3;1;7;1;4;1;1;4;7;3;4;4;3;3;3;44;0,667
66;1;16;0;0;2500;1;0;7;7;7;7;5;7;5;7;7;7;5;5;5;82;1,000
57;1;12;1;1;2500;2;1;7;3;7;5;4;6;7;0;7;7;4;3;2;51;0,500
46;1;16;0;1;2500;3;2;7;4;7;7;7;3;3;4;7;7;2;4;3;72;0,333
60;1;18;1;0;4500;2;2;7;4;5;6;7;4;7;7;7;7;2;3;3;77;0,000
65;1;5;0;0;1500;3;2;4;5;4;4;2;4;7;0;2;0;2;3;3;33;0,333
62;1;5;1;0;1500;2;3;7;4;3;7;3;6;2;6;7;7;5;1;5;64;-0,500
37;1;11;1;0;1500;4;2;5;0;0;0;2;0;7;1;2;0;3;3;5;21;0,500
53;1;16;0;0;2500;2;1;4;2;1;2;4;3;0;4;4;2;4;1;2;42;0,500
45;1;16;0;1;2500;1;1;6;4;7;7;6;7;7;5;7;4;3;4;3;73,5;0,000
20;1;14;0;1;1500;4;2;7;1;6;3;2;0;5;7;7;7;5;5;5;72;0,500
59;1;14;0;1;2500;3;1;7;4;7;7;5;7;2;7;7;4;2;1;3;80,5;0,667
65;1;16;0;0;1500;1;3;7;1;0;2;3;5;4;7;7;7;5;4;3;54;-2,000
60;1;12;0;0;2500;2;0;2;1;3;7;7;2;7;0;2;2;5;2;3;38;1,000
57;1;9;1;1;2500;3;2;7;3;4;7;7;3;6;5;7;7;4;4;1;67;0,333
64;1;12;0;0;4500;4;2;7;7;5;4;5;5;5;7;7;4;2;3;3;71,5;0,500
50;1;16;1;1;2500;2;3;3;5;7;7;7;7;7;3;2;2;4;5;5;63;-0,500
35;1;16;0;1;1500;1;2;3;1;2;7;3;3;0;3;0;3;3;4;3;43,5;-1,000
33;1;16;1;1;2500;3;0;7;3;7;4;4;7;7;0;7;3;1;2;1;48;1,000
40;1;16;0;0;4500;2;2;7;3;5;0;4;7;0;3;7;6;2;5;3;51,5;0,000
55;1;11;0;1;6500;2;0;4;1;4;7;5;7;1;5;7;1;4;3;3;62;1,000
49;1;16;1;1;2500;5;2;7;2;7;3;3;3;3;3;7;4;5;4;5;58,5;0,600
50;1;16;0;1;2500;1;3;5;6;5;7;4;7;5;6;5;5;4;3;5;69;-2,000
71;1;14;0;0;2500;5;0;7;1;3;3;7;4;3;7;7;4;1;2;3;66,5;1,000
36;1;16;1;1;2500;2;3;3;2;3;3;2;3;4;2;5;6;1;2;2;41,5;-0,500
66;1;11;1;0;2500;3;2;7;4;6;5;7;7;7;7;7;7;3;4;3;79;0,333
52;1;12;1;0;2500;6;2;7;0;7;7;4;7;4;7;7;7;3;2;3;81;0,667
73;1;16;0;1;4500;2;5;4;3;5;6;4;7;3;7;2;1;4;2;3;68,5;-1,500
43;1;12;0;1;1500;2;1;7;7;7;7;7;7;7;4;7;4;4;1;5;70,5;0,500
62;1;12;1;0;4500;2;2;7;6;5;7;7;7;7;7;6;7;4;3;3;77,5;0,000
54;1;14;0;1;2500;2;2;3;3;2;4;2;3;6;7;3;4;2;1;3;57,5;0,000
62;1;14;0;0;4500;1;0;7;7;5;4;4;4;2;7;7;7;5;4;3;72;1,000
46;1;16;1;1;2500;4;1;7;7;7;7;7;7;7;7;7;5;4;4;3;83;0,750
63;1;16;1;1;10000;2;2;6;2;2;2;7;7;2;7;3;3;3;3;3;60;0,000
46;1;16;1;1;2500;4;2;7;7;6;7;7;7;5;7;5;4;4;1;3;78,5;0,500
43;1;9;1;0;1500;3;2;7;0;7;0;0;1;7;0;7;5;2;1;3;41;0,333
32;1;12;1;1;1500;3;1;7;0;7;2;2;7;1;7;7;7;2;1;5;74;0,667
34;1;16;0;0;1500;4;2;5;4;5;5;7;3;5;3;2;3;3;3;5;55,5;0,500
58;0;16;0;1;6500;2;1;7;4;5;7;5;7;5;3;7;5;4;3;3;59;0,500
46;1;16;1;1;4500;4;2;7;7;7;7;7;7;7;7;7;2;4;1;3;81,5;0,500
58;0;16;0;1;4500;2;2;7;3;4;7;5;7;5;2;7;4;4;2;3;51,5;0,000
63;1;5;0;0;1500;1;2;3;2;4;5;3;3;3;4;2;1;3;2;5;51,5;-1,000
62;1;12;1;0;4500;3;1;7;1;7;5;7;7;2;7;7;7;2;4;5;82;0,667
37;1;14;0;1;2500;2;2;7;3;2;6;1;5;0;7;6;4;1;2;2;60;0,000
56;1;16;0;0;8000;2;2;7;5;5;7;7;5;3;4;4;3;2;3;3;62,5;0,000
39;1;16;1;1;6500;2;2;2;4;1;6;6;5;5;5;2;4;1;2;3;52;0,000
22;1;14;0;1;4500;5;2;7;7;7;4;2;7;4;7;7;7;3;1;1;76;0,600
19;1;14;0;1;8000;3;3;7;5;7;7;7;0;2;3;2;4;5;5;3;64;0,000
23;1;12;0;1;1500;3;3;7;7;7;7;7;0;2;0;4;4;5;3;3;53;0,000
40;1;16;0;1;2500;6;2;2;7;7;7;3;0;0;0;0;2;4;5;3;39;0,667
20;1;14;0;1;1500;1;6;3;0;3;6;1;0;6;0;4;3;4;5;3;32,5;-5,000
27;1;16;1;1;4500;2;1;7;5;6;4;2;7;7;5;5;7;2;1;2;64;0,500
24;0;14;0;1;27500;4;2;5;6;2;7;0;6;5;7;7;4;3;2;3;60,5;0,500
45;1;12;1;1;2500;4;4;7;4;6;3;7;6;4;7;6;6;4;4;5;76;0,000
27;1;12;1;1;1500;3;2;5;0;6;5;7;6;2;6;5;5;2;2;3;73;0,333
