AGE;GENDER;EDU;MARRY;EMPLOY;INCOME;PEOPLE;KNOW;BUY;PAY;;;;;;;;;;;;;;;;;;;;
71;0;22;0;0;19000;4;4;3;3;;;;;;;;;;;;;;;;;;;;
28;1;16;1;1;4500;2;3;2;3;;;;;;;;;;;;;;;;;;;;
31;1;18;0;1;4500;2;4;4;5;;;;;;;;;;;;;;;;;;;;
28;1;16;1;1;10000;3;4;3;3;;;;;;;;;;;;;;;;;;;;
29;1;16;0;1;13500;1;4;2;3;;;;;;;;;;;;;;;;;;;;
24;1;14;1;0;10000;4;2;3;3;;;;;;;;;;;;;;;;;;;;
69;1;16;1;0;10000;1;4;4;5;;;;;;;;;;;;;;;;;;;;
46;1;16;0;1;41250;4;4;3;3;;;;;;;;;;;;;;;;;;;;
48;1;16;0;1;13500;4;1;2;3;;;;;;;;;;;;;;;;;;;;
21;1;12;1;0;4500;4;4;2;3;;;;;;;;;;;;;;;;;;;;
20;0;14;1;0;27500;5;4;1;1;;;;;;;;;;;;;;;;;;;;
48;1;16;0;1;41250;6;3;2;5;;;;;;;;;;;;;;;;;;;;
32;1;18;1;1;8000;2;4;4;4;;;;;;;;;;;;;;;;;;;;
60;1;16;0;1;8000;2;4;4;5;;;;;;;;;;;;;;;;;;;;
73;1;12;0;1;2500;2;2;2;4;;;;;;;;;;;;;;;;;;;;
73;1;12;0;1;2500;2;2;2;4;;;;;;;;;;;;;;;;;;;;
23;1;14;1;0;4500;2;3;3;4;;;;;;;;;;;;;;;;;;;;
64;1;22;1;0;19000;1;4;4;5;;;;;;;;;;;;;;;;;;;;
24;0;14;1;1;4500;1;3;4;4;;;;;;;;;;;;;;;;;;;;
25;1;14;1;1;6500;2;3;2;2;;;;;;;;;;;;;;;;;;;;
49;1;16;1;1;41250;2;3;3;4;;;;;;;;;;;;;;;;;;;;
29;1;16;0;0;2500;2;4;1;3;;;;;;;;;;;;;;;;;;;;
57;0;5;0;1;1500;4;4;2;3;;;;;;;;;;;;;;;;;;;;
26;1;14;1;1;1500;1;1;1;4;;;;;;;;;;;;;;;;;;;;
55;1;12;0;1;4500;2;2;4;4;;;;;;;;;;;;;;;;;;;;
26;1;12;1;1;1500;4;2;3;5;;;;;;;;;;;;;;;;;;;;
46;1;16;0;1;2500;3;3;3;4;;;;;;;;;;;;;;;;;;;;
38;1;16;0;1;1500;4;2;3;3;;;;;;;;;;;;;;;;;;;;
62;1;16;0;0;19000;2;5;4;4;;;;;;;;;;;;;;;;;;;;
40;1;16;0;1;4500;3;3;2;5;;;;;;;;;;;;;;;;;;;;
30;1;18;1;1;4500;3;2;2;2;;;;;;;;;;;;;;;;;;;;
20;1;12;1;0;19000;3;3;2;3;;;;;;;;;;;;;;;;;;;;
26;1;14;1;1;6500;5;2;2;4;;;;;;;;;;;;;;;;;;;;
37;1;16;0;1;6500;4;1;1;2;;;;;;;;;;;;;;;;;;;;
50;1;16;1;1;19000;3;4;1;1;;;;;;;;;;;;;;;;;;;;
49;1;14;0;1;4500;3;5;4;5;;;;;;;;;;;;;;;;;;;;
48;1;16;0;0;41250;3;2;2;2;;;;;;;;;;;;;;;;;;;;
33;1;16;1;1;4500;2;2;2;4;;;;;;;;;;;;;;;;;;;;
62;0;18;0;1;41250;3;5;1;1;;;;;;;;;;;;;;;;;;;;
42;1;22;1;1;6500;1;4;5;5;;;;;;;;;;;;;;;;;;;;
25;0;16;1;1;2500;2;2;1;3;;;;;;;;;;;;;;;;;;;;
31;1;18;0;1;8000;2;2;2;4;;;;;;;;;;;;;;;;;;;;
63;0;16;0;1;27500;3;2;1;2;;;;;;;;;;;;;;;;;;;;
60;0;18;0;1;41250;3;5;1;1;;;;;;;;;;;;;;;;;;;;
21;1;12;0;1;1500;2;5;3;1;;;;;;;;;;;;;;;;;;;;
21;0;14;1;1;13500;4;2;2;2;;;;;;;;;;;;;;;;;;;;
27;1;18;1;1;4500;4;2;2;5;;;;;;;;;;;;;;;;;;;;
30;1;18;0;0;10000;2;2;1;3;;;;;;;;;;;;;;;;;;;;
42;1;12;0;1;1500;4;3;3;3;;;;;;;;;;;;;;;;;;;;
48;1;16;0;1;6500;6;5;1;4;;;;;;;;;;;;;;;;;;;;
58;1;16;0;1;8000;3;4;4;5;;;;;;;;;;;;;;;;;;;;
34;0;18;1;1;8000;1;5;5;4;;;;;;;;;;;;;;;;;;;;
27;0;18;1;1;2500;4;3;3;5;;;;;;;;;;;;;;;;;;;;
26;1;14;0;1;19000;3;3;1;3;;;;;;;;;;;;;;;;;;;;
57;1;12;0;1;19000;3;3;3;2;;;;;;;;;;;;;;;;;;;;
30;1;16;0;1;6500;2;2;2;2;;;;;;;;;;;;;;;;;;;;
37;1;16;0;1;13500;4;3;2;3;;;;;;;;;;;;;;;;;;;;
56;1;22;0;1;13500;4;5;3;4;;;;;;;;;;;;;;;;;;;;
45;1;16;0;1;10000;5;3;2;3;;;;;;;;;;;;;;;;;;;;
35;1;22;0;1;13500;2;4;3;4;;;;;;;;;;;;;;;;;;;;
61;1;22;0;1;27500;2;4;2;2;;;;;;;;;;;;;;;;;;;;
36;1;16;0;1;13500;2;1;1;3;;;;;;;;;;;;;;;;;;;;
26;1;16;1;1;2500;2;1;1;5;;;;;;;;;;;;;;;;;;;;
19;1;14;1;1;10000;3;5;4;3;;;;;;;;;;;;;;;;;;;;
27;1;14;0;1;4500;2;4;2;3;;;;;;;;;;;;;;;;;;;;
19;1;14;1;0;4500;5;3;4;4;;;;;;;;;;;;;;;;;;;;
46;0;16;0;1;4500;4;3;1;2;;;;;;;;;;;;;;;;;;;;
21;0;14;1;1;1500;1;3;2;4;;;;;;;;;;;;;;;;;;;;
48;0;12;0;0;8000;3;4;3;3;;;;;;;;;;;;;;;;;;;;
30;0;16;1;1;13500;3;4;2;1;;;;;;;;;;;;;;;;;;;;
35;1;12;1;1;1500;3;3;4;4;;;;;;;;;;;;;;;;;;;;
24;0;16;1;1;2500;5;2;2;3;;;;;;;;;;;;;;;;;;;;
28;1;18;1;1;8000;4;2;3;4;;;;;;;;;;;;;;;;;;;;
36;1;16;0;0;4500;3;2;2;3;;;;;;;;;;;;;;;;;;;;
61;1;14;0;0;10000;3;4;2;4;;;;;;;;;;;;;;;;;;;;
38;1;16;0;1;4500;2;4;2;3;;;;;;;;;;;;;;;;;;;;
36;0;16;1;1;10000;3;2;1;2;;;;;;;;;;;;;;;;;;;;
56;1;22;1;1;19000;1;2;2;4;;;;;;;;;;;;;;;;;;;;
33;1;12;0;1;1500;3;2;4;5;;;;;;;;;;;;;;;;;;;;
24;0;14;0;1;6500;2;3;2;3;;;;;;;;;;;;;;;;;;;;
26;0;16;1;1;27500;4;4;2;3;;;;;;;;;;;;;;;;;;;;
23;1;16;1;1;2500;1;3;2;2;;;;;;;;;;;;;;;;;;;;
32;1;16;0;1;6500;3;3;2;4;;;;;;;;;;;;;;;;;;;;
64;1;18;1;0;13500;1;4;4;4;;;;;;;;;;;;;;;;;;;;
47;1;16;0;1;10000;3;4;4;2;;;;;;;;;;;;;;;;;;;;
34;1;16;0;1;8000;4;2;1;4;;;;;;;;;;;;;;;;;;;;
36;1;16;0;1;41250;4;5;1;1;;;;;;;;;;;;;;;;;;;;
21;0;14;0;1;8000;4;2;1;4;;;;;;;;;;;;;;;;;;;;
37;1;16;0;1;41250;4;2;1;4;;;;;;;;;;;;;;;;;;;;
39;1;16;0;1;6500;2;4;3;4;;;;;;;;;;;;;;;;;;;;
40;1;16;0;1;4500;3;2;1;3;;;;;;;;;;;;;;;;;;;;
38;1;16;0;1;4500;2;5;2;3;;;;;;;;;;;;;;;;;;;;
61;0;22;0;1;19000;5;4;2;4;;;;;;;;;;;;;;;;;;;;
23;1;14;1;0;13500;5;2;1;3;;;;;;;;;;;;;;;;;;;;
26;1;16;1;1;41250;2;4;1;2;;;;;;;;;;;;;;;;;;;;
25;1;14;1;1;4500;2;2;2;3;;;;;;;;;;;;;;;;;;;;
69;1;5;0;0;2500;2;4;2;3;;;;;;;;;;;;;;;;;;;;
33;0;16;0;1;4500;3;2;2;3;;;;;;;;;;;;;;;;;;;;
21;0;14;1;0;27500;5;3;1;4;;;;;;;;;;;;;;;;;;;;
51;1;16;0;1;1500;5;4;2;4;;;;;;;;;;;;;;;;;;;;
21;1;14;1;1;10000;3;2;1;1;;;;;;;;;;;;;;;;;;;;
21;1;14;1;0;4500;3;4;2;3;;;;;;;;;;;;;;;;;;;;
21;1;14;1;1;2500;4;5;3;4;;;;;;;;;;;;;;;;;;;;
31;1;16;1;1;4500;2;2;1;4;;;;;;;;;;;;;;;;;;;;
27;0;16;1;0;41250;2;4;3;3;;;;;;;;;;;;;;;;;;;;
45;0;16;1;1;13500;4;2;1;3;;;;;;;;;;;;;;;;;;;;
48;1;16;1;1;6500;4;4;4;3;;;;;;;;;;;;;;;;;;;;
19;1;14;1;0;19000;5;1;1;1;;;;;;;;;;;;;;;;;;;;
56;1;18;1;1;2500;2;1;1;2;;;;;;;;;;;;;;;;;;;;
25;1;16;1;1;4500;1;2;1;1;;;;;;;;;;;;;;;;;;;;
19;1;12;1;1;2500;3;2;1;3;;;;;;;;;;;;;;;;;;;;
44;1;5;0;1;1500;3;3;4;4;;;;;;;;;;;;;;;;;;;;
55;0;5;0;1;1500;3;2;5;4;;;;;;;;;;;;;;;;;;;;
48;1;16;0;0;2500;2;2;1;2;;;;;;;;;;;;;;;;;;;;
42;1;22;0;1;4500;2;4;1;2;;;;;;;;;;;;;;;;;;;;
58;0;16;0;1;4500;2;3;1;3;;;;;;;;;;;;;;;;;;;;
21;1;14;1;1;10000;3;4;1;3;;;;;;;;;;;;;;;;;;;;
44;1;16;0;1;10000;4;3;4;4;;;;;;;;;;;;;;;;;;;;
28;1;16;1;0;2500;3;1;1;3;;;;;;;;;;;;;;;;;;;;
75;1;18;1;0;13500;1;5;4;5;;;;;;;;;;;;;;;;;;;;
29;0;16;1;1;10000;2;1;1;4;;;;;;;;;;;;;;;;;;;;
29;0;16;0;1;19000;2;3;1;2;;;;;;;;;;;;;;;;;;;;
26;0;16;0;1;10000;4;4;2;1;;;;;;;;;;;;;;;;;;;;
32;1;16;1;1;2500;4;1;1;3;;;;;;;;;;;;;;;;;;;;
28;1;16;1;0;13500;4;4;2;3;;;;;;;;;;;;;;;;;;;;
29;1;16;1;1;10000;2;2;1;3;;;;;;;;;;;;;;;;;;;;
33;1;16;0;1;4500;2;1;1;2;;;;;;;;;;;;;;;;;;;;
30;0;16;0;1;4500;4;2;2;4;;;;;;;;;;;;;;;;;;;;
30;1;16;1;1;13500;2;4;2;3;;;;;;;;;;;;;;;;;;;;
33;1;14;1;1;2500;2;2;4;5;;;;;;;;;;;;;;;;;;;;
43;1;16;0;1;4500;3;4;2;5;;;;;;;;;;;;;;;;;;;;
45;0;16;1;1;2500;3;2;1;4;;;;;;;;;;;;;;;;;;;;
37;1;16;0;1;27500;4;4;2;3;;;;;;;;;;;;;;;;;;;;
30;0;12;0;0;1500;3;2;2;2;;;;;;;;;;;;;;;;;;;;
37;1;16;0;1;10000;4;3;2;2;;;;;;;;;;;;;;;;;;;;
22;0;12;1;1;2500;3;2;5;5;;;;;;;;;;;;;;;;;;;;
53;1;16;0;1;4500;3;4;4;5;;;;;;;;;;;;;;;;;;;;
21;1;12;1;1;1500;5;3;5;4;;;;;;;;;;;;;;;;;;;;
37;1;16;0;1;19000;5;3;1;3;;;;;;;;;;;;;;;;;;;;
33;0;16;0;1;2500;3;4;2;4;;;;;;;;;;;;;;;;;;;;
50;1;12;0;1;1500;3;4;3;1;;;;;;;;;;;;;;;;;;;;
29;0;12;0;1;1500;3;4;2;3;;;;;;;;;;;;;;;;;;;;
45;0;16;0;1;2500;3;4;2;2;;;;;;;;;;;;;;;;;;;;
27;1;14;1;0;13500;2;3;4;4;;;;;;;;;;;;;;;;;;;;
38;1;16;0;1;10000;2;3;2;5;;;;;;;;;;;;;;;;;;;;
41;1;9;0;1;1500;4;3;1;1;;;;;;;;;;;;;;;;;;;;
25;0;14;0;1;1500;2;1;1;4;;;;;;;;;;;;;;;;;;;;
24;0;11;1;1;1500;4;2;1;2;;;;;;;;;;;;;;;;;;;;
27;1;16;1;1;4500;4;4;3;3;;;;;;;;;;;;;;;;;;;;
32;1;16;1;1;1500;1;4;1;3;;;;;;;;;;;;;;;;;;;;
44;1;16;1;1;4500;3;2;2;3;;;;;;;;;;;;;;;;;;;;
40;1;16;0;1;2500;4;4;3;1;;;;;;;;;;;;;;;;;;;;
51;0;16;0;1;2500;4;4;3;4;;;;;;;;;;;;;;;;;;;;
58;1;16;1;1;2500;1;4;3;4;;;;;;;;;;;;;;;;;;;;
39;1;14;0;1;2500;4;3;1;1;;;;;;;;;;;;;;;;;;;;
37;1;22;0;1;2500;3;3;1;2;;;;;;;;;;;;;;;;;;;;
45;1;16;1;1;2500;1;1;5;2;;;;;;;;;;;;;;;;;;;;
44;1;9;0;1;2500;3;1;4;5;;;;;;;;;;;;;;;;;;;;
40;1;12;1;0;1500;2;1;1;3;;;;;;;;;;;;;;;;;;;;
40;1;12;0;1;2500;4;3;5;4;;;;;;;;;;;;;;;;;;;;
55;1;16;1;1;2500;1;1;1;3;;;;;;;;;;;;;;;;;;;;
31;1;12;0;0;1500;2;4;3;4;;;;;;;;;;;;;;;;;;;;
44;0;12;0;1;4500;3;1;1;1;;;;;;;;;;;;;;;;;;;;
35;1;16;1;1;2500;1;3;2;3;;;;;;;;;;;;;;;;;;;;
41;1;16;1;1;4500;1;4;2;5;;;;;;;;;;;;;;;;;;;;
40;1;16;0;0;2500;2;3;2;1;;;;;;;;;;;;;;;;;;;;
36;1;22;0;1;8000;3;4;3;5;;;;;;;;;;;;;;;;;;;;
43;0;14;1;1;6500;2;2;1;4;;;;;;;;;;;;;;;;;;;;
44;1;12;1;1;2500;3;1;1;1;;;;;;;;;;;;;;;;;;;;
53;0;12;0;1;4500;5;3;5;1;;;;;;;;;;;;;;;;;;;;
32;1;14;1;1;2500;1;4;5;5;;;;;;;;;;;;;;;;;;;;
48;0;12;0;1;8000;4;2;2;3;;;;;;;;;;;;;;;;;;;;
48;1;12;0;1;2500;3;3;2;4;;;;;;;;;;;;;;;;;;;;
34;1;12;0;1;4500;3;1;3;3;;;;;;;;;;;;;;;;;;;;
40;1;16;0;1;2500;3;3;1;3;;;;;;;;;;;;;;;;;;;;
65;0;12;0;1;4500;2;5;3;5;;;;;;;;;;;;;;;;;;;;
25;1;14;1;1;6500;3;1;1;3;;;;;;;;;;;;;;;;;;;;
68;1;12;1;0;1500;5;2;2;3;;;;;;;;;;;;;;;;;;;;
33;1;12;1;1;1500;4;2;3;2;;;;;;;;;;;;;;;;;;;;
34;1;16;0;1;10000;3;3;1;1;;;;;;;;;;;;;;;;;;;;
46;0;14;0;1;6500;4;1;1;3;;;;;;;;;;;;;;;;;;;;
35;0;12;1;1;1500;5;2;2;3;;;;;;;;;;;;;;;;;;;;
20;1;12;1;1;1500;5;4;2;1;;;;;;;;;;;;;;;;;;;;
31;1;16;1;1;1500;4;2;1;4;;;;;;;;;;;;;;;;;;;;
28;1;16;0;1;1500;4;3;1;2;;;;;;;;;;;;;;;;;;;;
50;1;12;0;0;1500;4;3;5;4;;;;;;;;;;;;;;;;;;;;
40;1;16;0;1;6500;7;4;4;5;;;;;;;;;;;;;;;;;;;;
39;1;16;1;1;1500;2;4;2;2;;;;;;;;;;;;;;;;;;;;
51;1;12;0;1;1500;4;2;3;5;;;;;;;;;;;;;;;;;;;;
52;1;16;0;1;4500;2;3;3;5;;;;;;;;;;;;;;;;;;;;
24;0;14;1;1;2500;4;2;2;2;;;;;;;;;;;;;;;;;;;;
37;0;16;1;1;4500;1;3;3;4;;;;;;;;;;;;;;;;;;;;
47;0;22;0;1;19000;2;5;5;5;;;;;;;;;;;;;;;;;;;;
38;1;12;0;1;2500;2;4;4;3;;;;;;;;;;;;;;;;;;;;
38;1;12;0;1;2500;2;4;3;4;;;;;;;;;;;;;;;;;;;;
40;1;16;0;0;1500;3;5;2;3;;;;;;;;;;;;;;;;;;;;
27;1;12;0;1;1500;3;2;2;4;;;;;;;;;;;;;;;;;;;;
45;1;12;0;1;2500;4;4;4;5;;;;;;;;;;;;;;;;;;;;
24;0;14;1;1;27500;4;3;2;3;;;;;;;;;;;;;;;;;;;;
27;1;16;0;1;4500;2;2;1;2;;;;;;;;;;;;;;;;;;;;
